Department_id,Department_Name,Manager_id,Location_id,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
90,Executive,100,1700,100,Steven,King,SKING,515.123.4567,17-06-2003 00:00:00,AD_PRES,24000,,,90
90,Executive,100,1700,101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-09-2005 00:00:00,AD_VP,17000,,100,90
90,Executive,100,1700,102,Lex,De Haan,LDEHAAN,515.123.4569,13-01-2001 00:00:00,AD_VP,17000,,100,90
60,IT,103,1400,103,Alexander,Hunold,AHUNOLD,590.423.4567,03-01-2006 00:00:00,IT_PROG,9000,,102,60
60,IT,103,1400,104,Bruce,Ernst,BERNST,590.423.4568,21-05-2007 00:00:00,IT_PROG,6000,,103,60
60,IT,103,1400,105,David,Austin,DAUSTIN,590.423.4569,25-06-2005 00:00:00,IT_PROG,4800,,103,60
60,IT,103,1400,106,Valli,Pataballa,VPATABAL,590.423.4560,05-02-2006 00:00:00,IT_PROG,4800,,103,60
60,IT,103,1400,107,Diana,Lorentz,DLORENTZ,590.423.5567,07-02-2007 00:00:00,IT_PROG,4200,,103,60
100,Finance,108,1700,108,Nancy,Greenberg,NGREENBE,515.124.4569,17-08-2002 00:00:00,FI_MGR,12008,,101,100
100,Finance,108,1700,109,Daniel,Faviet,DFAVIET,515.124.4169,16-08-2002 00:00:00,FI_ACCOUNT,9000,,108,100
100,Finance,108,1700,110,John,Chen,JCHEN,515.124.4269,28-09-2005 00:00:00,FI_ACCOUNT,8200,,108,100
100,Finance,108,1700,111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-09-2005 00:00:00,FI_ACCOUNT,7700,,108,100
100,Finance,108,1700,112,Jose Manuel,Urman,JMURMAN,515.124.4469,07-03-2006 00:00:00,FI_ACCOUNT,7800,,108,100
100,Finance,108,1700,113,Luis,Popp,LPOPP,515.124.4567,07-12-2007 00:00:00,FI_ACCOUNT,6900,,108,100
30,Purchasing,114,1700,114,Den,Raphaely,DRAPHEAL,515.127.4561,07-12-2002 00:00:00,PU_MAN,11000,,100,30
30,Purchasing,114,1700,115,Alexander,Khoo,AKHOO,515.127.4562,18-05-2003 00:00:00,PU_CLERK,3100,,114,30
30,Purchasing,114,1700,116,Shelli,Baida,SBAIDA,515.127.4563,24-12-2005 00:00:00,PU_CLERK,2900,,114,30
30,Purchasing,114,1700,117,Sigal,Tobias,STOBIAS,515.127.4564,24-07-2005 00:00:00,PU_CLERK,2800,,114,30
30,Purchasing,114,1700,118,Guy,Himuro,GHIMURO,515.127.4565,15-11-2006 00:00:00,PU_CLERK,2600,,114,30
30,Purchasing,114,1700,119,Karen,Colmenares,KCOLMENA,515.127.4566,10-08-2007 00:00:00,PU_CLERK,2500,,114,30
50,Shipping,121,1500,120,Matthew,Weiss,MWEISS,650.123.1234,18-07-2004 00:00:00,ST_MAN,8000,,100,50
50,Shipping,121,1500,121,Adam,Fripp,AFRIPP,650.123.2234,10-04-2005 00:00:00,ST_MAN,8200,,100,50
50,Shipping,121,1500,122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-05-2003 00:00:00,ST_MAN,7900,,100,50
50,Shipping,121,1500,123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-10-2005 00:00:00,ST_MAN,6500,,100,50
50,Shipping,121,1500,124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-11-2007 00:00:00,ST_MAN,5800,,100,50
50,Shipping,121,1500,125,Julia,Nayer,JNAYER,650.124.1214,16-07-2005 00:00:00,ST_CLERK,3200,,120,50
50,Shipping,121,1500,126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-09-2006 00:00:00,ST_CLERK,2700,,120,50
50,Shipping,121,1500,127,James,Landry,JLANDRY,650.124.1334,14-01-2007 00:00:00,ST_CLERK,2400,,120,50
50,Shipping,121,1500,128,Steven,Markle,SMARKLE,650.124.1434,08-03-2008 00:00:00,ST_CLERK,2200,,120,50
50,Shipping,121,1500,129,Laura,Bissot,LBISSOT,650.124.5234,20-08-2005 00:00:00,ST_CLERK,3300,,121,50
50,Shipping,121,1500,130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-10-2005 00:00:00,ST_CLERK,2800,,121,50
50,Shipping,121,1500,131,James,Marlow,JAMRLOW,650.124.7234,16-02-2005 00:00:00,ST_CLERK,2500,,121,50
50,Shipping,121,1500,132,TJ,Olson,TJOLSON,650.124.8234,10-04-2007 00:00:00,ST_CLERK,2100,,121,50
50,Shipping,121,1500,133,Jason,Mallin,JMALLIN,650.127.1934,14-06-2004 00:00:00,ST_CLERK,3300,,122,50
50,Shipping,121,1500,134,Michael,Rogers,MROGERS,650.127.1834,26-08-2006 00:00:00,ST_CLERK,2900,,122,50
50,Shipping,121,1500,135,Ki,Gee,KGEE,650.127.1734,12-12-2007 00:00:00,ST_CLERK,2400,,122,50
50,Shipping,121,1500,136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-02-2008 00:00:00,ST_CLERK,2200,,122,50
50,Shipping,121,1500,137,Renske,Ladwig,RLADWIG,650.121.1234,14-07-2003 00:00:00,ST_CLERK,3600,,123,50
50,Shipping,121,1500,138,Stephen,Stiles,SSTILES,650.121.2034,26-10-2005 00:00:00,ST_CLERK,3200,,123,50
50,Shipping,121,1500,139,John,Seo,JSEO,650.121.2019,12-02-2006 00:00:00,ST_CLERK,2700,,123,50
50,Shipping,121,1500,140,Joshua,Patel,JPATEL,650.121.1834,06-04-2006 00:00:00,ST_CLERK,2500,,123,50
50,Shipping,121,1500,141,Trenna,Rajs,TRAJS,650.121.8009,17-10-2003 00:00:00,ST_CLERK,3500,,124,50
50,Shipping,121,1500,142,Curtis,Davies,CDAVIES,650.121.2994,29-01-2005 00:00:00,ST_CLERK,3100,,124,50
50,Shipping,121,1500,143,Randall,Matos,RMATOS,650.121.2874,15-03-2006 00:00:00,ST_CLERK,2600,,124,50
50,Shipping,121,1500,144,Peter,Vargas,PVARGAS,650.121.2004,09-07-2006 00:00:00,ST_CLERK,2500,,124,50
80,Sales,145,2500,145,John,Russell,JRUSSEL,011.44.1344.429268,01-10-2004 00:00:00,SA_MAN,14000,0.4,100,80
80,Sales,145,2500,146,Karen,Partners,KPARTNER,011.44.1344.467268,05-01-2005 00:00:00,SA_MAN,13500,0.3,100,80
80,Sales,145,2500,147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10-03-2005 00:00:00,SA_MAN,12000,0.3,100,80
80,Sales,145,2500,148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15-10-2007 00:00:00,SA_MAN,11000,0.3,100,80
80,Sales,145,2500,149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29-01-2008 00:00:00,SA_MAN,10500,0.2,100,80
80,Sales,145,2500,150,Peter,Tucker,PTUCKER,011.44.1344.129268,30-01-2005 00:00:00,SA_REP,10000,0.3,145,80
80,Sales,145,2500,151,David,Bernstein,DBERNSTE,011.44.1344.345268,24-03-2005 00:00:00,SA_REP,9500,0.25,145,80
80,Sales,145,2500,152,Peter,Hall,PHALL,011.44.1344.478968,20-08-2005 00:00:00,SA_REP,9000,0.25,145,80
80,Sales,145,2500,153,Christopher,Olsen,COLSEN,011.44.1344.498718,30-03-2006 00:00:00,SA_REP,8000,0.2,145,80
80,Sales,145,2500,154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,09-12-2006 00:00:00,SA_REP,7500,0.2,145,80
80,Sales,145,2500,155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,23-11-2007 00:00:00,SA_REP,7000,0.15,145,80
80,Sales,145,2500,156,Janette,King,JKING,011.44.1345.429268,30-01-2004 00:00:00,SA_REP,10000,0.35,146,80
80,Sales,145,2500,157,Patrick,Sully,PSULLY,011.44.1345.929268,04-03-2004 00:00:00,SA_REP,9500,0.35,146,80
80,Sales,145,2500,158,Allan,McEwen,AMCEWEN,011.44.1345.829268,01-08-2004 00:00:00,SA_REP,9000,0.35,146,80
80,Sales,145,2500,159,Lindsey,Smith,LSMITH,011.44.1345.729268,10-03-2005 00:00:00,SA_REP,8000,0.3,146,80
80,Sales,145,2500,160,Louise,Doran,LDORAN,011.44.1345.629268,15-12-2005 00:00:00,SA_REP,7500,0.3,146,80
80,Sales,145,2500,161,Sarath,Sewall,SSEWALL,011.44.1345.529268,03-11-2006 00:00:00,SA_REP,7000,0.25,146,80
80,Sales,145,2500,162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11-11-2005 00:00:00,SA_REP,10500,0.25,147,80
80,Sales,145,2500,163,Danielle,Greene,DGREENE,011.44.1346.229268,19-03-2007 00:00:00,SA_REP,9500,0.15,147,80
80,Sales,145,2500,164,Mattea,Marvins,MMARVINS,011.44.1346.329268,24-01-2008 00:00:00,SA_REP,7200,0.1,147,80
80,Sales,145,2500,165,David,Lee,DLEE,011.44.1346.529268,23-02-2008 00:00:00,SA_REP,6800,0.1,147,80
80,Sales,145,2500,166,Sundar,Ande,SANDE,011.44.1346.629268,24-03-2008 00:00:00,SA_REP,6400,0.1,147,80
